area|bedrooms|contractType|currentPhase|floor|isMarketplace|parkingSpots|price|productType|status|subwayShortestDistance|suits|towerHasElevator|lat|lng|streetType|neighborhood|taxRobberyMurder
123|3|exclusive|ready_to_move|6|1|2|590000.0|market|FOR_SALE|2755.2|1|0|-23.618788|-46.7324828|Avenida|Vila andrade|0.0
99|3|exclusive|ready_to_move|6|1|1|440000.0|market|FOR_SALE|525.769|0|0|-23.5275368|-46.6360464|Rua|Bom retiro|0.0
77|3|exclusive|ready_to_move|6|1|2|670000.0|home_flipping|FOR_SALE|1143.55|1|0|-23.6057457|-46.6280028|Rua|Saude|2.27
29|1|non_exclusive|ready_to_move|9|1|0|180000.0|market|FOR_SALE|849.767|1|1|-23.5581568|-46.6281468|Rua|Liberdade|0.0
50|2|exclusive|ready_to_move|5|1|1|300000.0|market|FOR_SALE|1184.8|0|0|-23.5315883|-46.5827675|Rua|Tatuape|2.27
86|3|exclusive|ready_to_move|6|1|0|500000.0|market|FOR_SALE|1457.85|0|0|-23.5679329|-46.6256647|Rua|Aclimacao|0.0
78|2|exclusive|ready_to_move|7|1|2|390000.0|market|FOR_SALE|2101.18|2|0|-23.62361|-46.7362575|Rua|Vila andrade|0.0
246|4|exclusive|ready_to_move|11|1|3|1650000.0|market|FOR_SALE|670.158|1|0|-23.5628491|-46.6472638|Rua|Bela vista|0.0
140|3|exclusive|ready_to_move|7|1|1|1100000.0|market|FOR_SALE|526.523|0|0|-23.5670444|-46.6573742|Alameda|Jardim paulista|0.0
102|3|exclusive|ready_to_move|10|1|2|900000.0|market|FOR_SALE|244.826|1|0|-23.5906473|-46.6329308|Rua|Chacara klabin|0.0
78|3|exclusive|ready_to_move|2|1|1|350000.0|market|FOR_SALE|4864.3|0|0|-23.5468962|-46.7473681|Rua|Jaguare|0.0
100|2|exclusive|ready_to_move|2|1|0|665000.0|market|FOR_SALE|634.165|0|0|-23.5920161|-46.640008|Rua|Vila mariana|0.0
60|2|non_exclusive|ready_to_move|4|1|1|200000.0|market|FOR_SALE|6373.66|0|1|-23.6032795|-46.7962013|Rua|Raposo tavares|2.27
63|3|exclusive|ready_to_move|5|1|1|275000.0|market|FOR_SALE|1506.97|0|1|-23.46746|-46.60883|Rua|Tucuruvi|0.0
325|4|non_exclusive|ready_to_move|11|1|5|1000000.0|market|FOR_SALE|2847.89|4|1|-23.617308|-46.733617|Rua|Vila andrade|0.0
49|2|non_exclusive|ready_to_move|0|1|0|360000.0|market|FOR_SALE|1882.95|0|0|-23.5038751|-46.6431904|Rua|Casa verde|0.0
87|3|non_exclusive|ready_to_move|0|1|0|598000.0|market|FOR_SALE|556.905|0|0|-23.5596505|-46.6505111|Rua|Bela vista|0.0
90|3|exclusive|ready_to_move|6|1|3|530000.0|market|FOR_SALE|1706.79|1|0|-23.6287444|-46.7318517|Rua|Vila andrade|0.0
27|0|exclusive|ready_to_move|1|1|1|310000.0|market|FOR_SALE|373.549|0|0|-23.6055892|-46.6647039|Avenida|Moema passaros|0.0
820|5|exclusive|ready_to_move|1|1|5|13355000.0|market|FOR_SALE|690.513|5|1|-23.5631032|-46.6634028|Rua|Jardim america|0.0
74|3|non_exclusive|ready_to_move|9|1|2|580000.0|market|FOR_SALE|285.33|1|0|-23.6489217|-46.6418658|Avenida|Jabaquara|0.0
32|1|exclusive|ready_to_move|17|1|1|380000.0|market|FOR_SALE|373.549|0|0|-23.6055892|-46.6647039|Avenida|Moema passaros|0.0
127|4|exclusive|ready_to_move|10|1|3|600000.0|market|FOR_SALE|2892.57|1|0|-23.6172359|-46.732787|Rua|Vila andrade|0.0
62|3|exclusive|ready_to_move|8|1|1|270000.0|market|FOR_SALE|2865.51|1|0|-23.6221484|-46.5864398|Rua|Sacoma|2.27
64|2|exclusive|ready_to_move|3|1|2|355000.0|market|FOR_SALE|2255.11|2|0|-23.6236929|-46.7330715|Rua|Vila andrade|0.0
72|3|non_exclusive|ready_to_move|6|1|1|510000.0|market|FOR_SALE|495.813|0|0|-23.6161751|-46.6351551|Rua|Saude|2.27
28|0|exclusive|ready_to_move|4|1|0|130000.0|market|FOR_SALE|516.329|0|1|-23.553827|-46.6290618|Rua|Se|0.0
67|3|exclusive|ready_to_move|6|1|1|350000.0|market|FOR_SALE|2649.22|1|0|-23.6200331|-46.732218|Rua|Vila andrade|0.0
60|2|non_exclusive|ready_to_move|10|1|0|248000.0|market|FOR_SALE|515.867|0|0|-23.5523235|-46.6173821|Avenida|Bras|0.0
160|2|non_exclusive|ready_to_move|12|1|3|1790000.0|market|FOR_SALE|603.428|2|0|-23.5905251|-46.6250238|Rua|Chacara klabin|0.0
40|1|exclusive|set_up|21|0|1|493000.0|home_flipping|FOR_SALE|1237.83|0|0|-23.5789999|-46.6526857|Rua|Paraiso|0.0
164|3|exclusive|ready_to_move|9|1|1|1400000.0|market|FOR_SALE|362.564|1|0|-23.5660074|-46.6490432|Rua|Bela vista|0.0
29|0|non_exclusive|ready_to_move|6|1|1|260000.0|market|FOR_SALE|1707.63|0|1|-23.6091069|-46.6950796|Rua|Brooklin|0.0
70|2|non_exclusive|ready_to_move|6|1|2|260000.0|market|FOR_SALE|2780.02|0|0|-23.4609776|-46.5854106|Avenida|Jacana|0.0
223|4|exclusive|ready_to_move|5|1|4|900000.0|market|FOR_SALE|2028.63|2|1|-23.6241842|-46.7365953|Rua|Vila andrade|0.0
62|2|exclusive|ready_to_move|3|1|1|300000.0|market|FOR_SALE|4141.6|0|0|-23.6504801|-46.6005384|Rua|Sacoma|2.27
69|2|exclusive|ready_to_move|11|1|1|901000.0|new_construction|FOR_SALE|207.764|1|0|-23.5449671|-46.6895309|Rua|Sumare|0.0
180|3|exclusive|set_up|15|1|3|1910000.0|home_flipping|FOR_SALE|564.181|2|0|-23.5741966|-46.635491|Rua|Aclimacao|0.0
110|3|exclusive|ready_to_move|14|1|2|745000.0|market|FOR_SALE|2058.5|1|0|-23.5041786|-46.6011802|Rua|Vila guilherme|0.0
26|0|non_exclusive|ready_to_move|5|1|1|220000.0|market|FOR_SALE|596.607|0|0|-23.5932381|-46.6477014|Rua|Vila clementino|0.0
47|2|non_exclusive|ready_to_move|6|1|1|320000.0|market|FOR_SALE|3718.98|0|0|-23.5058329|-46.578634|Rua|Vila maria|2.27
33|1|exclusive|ready_to_move|13|1|1|350000.0|market|FOR_SALE|1557.12|1|0|-23.5228954|-46.6460582|Rua|Bom retiro|0.0
130|3|non_exclusive|ready_to_move|8|1|2|525000.0|market|FOR_SALE|1686.92|1|0|-23.569936|-46.5874144|Avenida|Mooca|0.0
52|2|exclusive|ready_to_move|5|1|0|220000.0|market|FOR_SALE|472.326|0|0|-23.5401042|-46.6410531|Rua|Republica|2.27
46|2|exclusive|ready_to_move|14|1|1|266000.0|market|FOR_SALE|5785.06|0|0|-23.6118181|-46.4601456|Rua|Sao mateus|4.55
44|1|exclusive|ready_to_move|11|1|1|280000.0|market|FOR_SALE|2070.42|0|0|-23.6281414|-46.6637273|Rua|Campo belo|0.0
44|1|non_exclusive|ready_to_move|6|1|0|180000.0|market|FOR_SALE|494.842|0|0|-23.5534556|-46.6285436|Rua|Se|0.0
25|0|exclusive|ready_to_move|10|1|1|295000.0|market|FOR_SALE|684.366|0|0|-23.5686542|-46.6574533|Rua|Jardim paulista|0.0
120|3|exclusive|ready_to_move|4|1|0|565000.0|market|FOR_SALE|746.215|0|0|-23.5688886|-46.6326116|Rua|Aclimacao|0.0
28|1|non_exclusive|ready_to_move|6|1|0|175000.0|market|FOR_SALE|465.944|0|0|-23.5531897|-46.629186|Rua|Se|0.0
47|1|exclusive|ready_to_move|4|1|1|265000.0|market|SOLD|1847.12|0|0|-23.5031961|-46.6033143|Avenida|Vila guilherme|0.0
212|4|exclusive|set_up|2|0|2|2368457.0|new_construction|FOR_SALE|313.343|2|0|-23.58745|-46.63216|Rua|Aclimacao|0.0
42|1|exclusive|ready_to_move|11|1|1|340000.0|market|FOR_SALE|391.926|1|0|-23.5633338|-46.6505715|Alameda|Bela vista|0.0
163|3|exclusive|set_up|13|0|2|2737481.3|new_construction|FOR_SALE|466.139|3|0|-23.60923198|-46.66452417|Alameda|Moema indios|0.0
81|3|exclusive|ready_to_move|11|1|2|750000.0|market|FOR_SALE|548.534|1|0|-23.570812|-46.6523085|Avenida|Jardim paulista|0.0
66|2|exclusive|ready_to_move|1|1|1|610000.0|home_flipping|FOR_SALE|4315.95|1|0|-23.5137837|-46.7138676|Avenida|Lapa|4.55
53|2|exclusive|set_up|9|0|1|561000.0|home_flipping|FOR_SALE|1536.92|0|0|-23.5325851|-46.6917574|Rua|Vila romana|0.0
80|1|exclusive|ready_to_move|1|1|2|650000.0|market|FOR_SALE|2739.98|1|0|-23.6184246|-46.7335401|Avenida|Vila andrade|0.0
97|2|exclusive|ready_to_move|2|1|0|400000.0|market|FOR_SALE|1408.05|0|0|-23.6211904|-46.6622169|Avenida|Campo belo|0.0
82|3|exclusive|demolition|8|0|2|750000.0|market|DEMOLITION|2483.79|1|1|-23.4886675|-46.6438564|Rua|Santana|0.0
78|3|non_exclusive|demolition|10|0|2|610000.0|market|DEMOLITION|626.994|1|0|-23.4976619|-46.627806|Rua|Santana|0.0
134|3|non_exclusive|demolition|10|0|2|1300000.0|market|DEMOLITION|2478.57|3|0|-23.6735051|-46.6968551|Avenida|Campo grande|0.0
187|4|non_exclusive|demolition|3|0|3|1200000.0|market|DEMOLITION|928.479|1|0|-23.4835428|-46.6170992|Rua|Santana|0.0
75|3|non_exclusive|demolition|1|0|2|500000.0|market|DEMOLITION|2966.32|1|0|-23.4731996|-46.6373108|Avenida|Mandaqui|0.0
69|2|non_exclusive|demolition|5|0|1|675000.0|market|DEMOLITION|4533.4|1|0|-23.5119534|-46.7147056|Avenida|Lapa|4.55
100|2|non_exclusive|demolition|27|0|2|1350000.0|market|DEMOLITION|2476.94|2|0|-23.52545|-46.69918|Rua|Vila romana|0.0
80|3|non_exclusive|demolition|5|0|2|520000.0|market|DEMOLITION|626.54|1|0|-23.4888727|-46.6218895|Rua|Santana|0.0
65|2|non_exclusive|demolition|1|0|1|590000.0|market|DEMOLITION|475.788|1|0|-23.6034929|-46.6079164|Rua|Ipiranga|0.0
135|4|non_exclusive|demolition|14|0|3|1550000.0|market|DEMOLITION|399.432|2|0|-23.596074|-46.6421655|Rua|Vila clementino|0.0
60|2|non_exclusive|demolition|5|0|1|450000.0|market|DEMOLITION|1948.73|0|0|-23.6179613|-46.5968377|Rua|Sacoma|2.27
53|2|non_exclusive|demolition|6|0|1|415000.0|market|DEMOLITION|521.014|0|0|-23.6092455|-46.6329958|Rua|Saude|2.27
44|2|non_exclusive|demolition|7|0|1|440000.0|market|DEMOLITION|604.03|0|0|-23.6012581|-46.6219135|Rua|Cursino|0.0
278|4|exclusive|demolition|13|0|4|4948000.0|new_construction|DEMOLITION|690.044|4|0|-23.609499|-46.6612247|Avenida|Moema indios|0.0
432|4|non_exclusive|demolition|5|0|5|7000000.0|market|DEMOLITION|1079.78|4|0|-23.6256169|-46.6746141|Rua|Campo belo|0.0
73|2|non_exclusive|demolition|4|0|1|395000.0|market|DEMOLITION|2312.25|1|0|-23.6245533|-46.7259184|Rua|Vila andrade|0.0
168|3|non_exclusive|demolition|3|0|2|1500000.0|market|SOLD|734.864|1|0|-23.5401101|-46.6565975|Rua|Santa cecilia|0.0
89|3|exclusive|demolition|10|0|2|1490000.0|market|DEMOLITION|749.071|1|1|-23.5414062|-46.6859011|Rua|Sumare|0.0
133|3|non_exclusive|ready_to_move|16|1|3|1500000.0|market|FOR_SALE|1179.27|3|1|-23.53875|-46.682821|Rua|Sumare|0.0
42|1|non_exclusive|demolition|8|0|1|510000.0|market|DEMOLITION|1007.27|0|0|-23.60173|-46.6726692|Avenida|Moema passaros|0.0
64|3|exclusive|demolition|13|0|2|900000.0|home_flipping|DEMOLITION|553.456|0|1|-23.5719123|-46.6355958|Rua|Aclimacao|0.0
116|3|exclusive|demolition|13|0|3|1225000.0|home_flipping|DEMOLITION|2106.77|3|1|-23.5280549|-46.6961114|Rua|Vila romana|0.0
56|2|non_exclusive|demolition|3|0|1|850000.0|market|DEMOLITION|568.887|0|0|-23.5513742|-46.6895759|Rua|Vila madalena|0.0
204|4|exclusive|demolition|15|0|5|2380000.0|market|DEMOLITION|793.892|2|1|-23.5841907|-46.6289943|Avenida|Aclimacao|0.0
52|2|non_exclusive|demolition|8|0|2|420000.0|market|DEMOLITION|1397.66|0|0|-23.6137372|-46.6245759|Avenida|Cursino|0.0
64|3|non_exclusive|demolition|4|0|1|230000.0|market|DEMOLITION|1301.65|0|0|-23.6014039|-46.5486768|Rua|Sao lucas|2.27
70|2|non_exclusive|demolition|8|0|1|350000.0|market|DEMOLITION|4582.07|1|0|-23.4968717|-46.699257|Rua|Freguesia do o|2.27
70|2|non_exclusive|demolition|7|0|1|540000.0|market|DEMOLITION|2399.08|1|0|-23.5723152|-46.6166766|Rua|Cambuci|0.0
153|4|exclusive|demolition|10|0|2|1965000.0|home_flipping|DEMOLITION|678.175|3|1|-23.5524869|-46.6911746|Rua|Vila madalena|0.0
82|2|exclusive|demolition|2|0|1|330000.0|market|DEMOLITION|6120.77|0|1|-23.4994274|-46.7222411|Rua|Pirituba|0.0
56|2|non_exclusive|demolition|3|0|1|320000.0|market|DEMOLITION|1515.96|1|0|-23.4908689|-46.5941882|Avenida|Vila medeiros|2.27
58|2|exclusive|demolition|1|0|1|450000.0|market|DEMOLITION|331.319|1|1|-23.477214|-46.6043606|Rua|Tucuruvi|0.0
69|1|exclusive|demolition|1|0|1|730000.0|home_flipping|DEMOLITION|1541.76|1|1|-23.6238321|-46.6665168|Rua|Campo belo|0.0
32|1|non_exclusive|demolition|22|0|0|249000.0|market|DEMOLITION|436.194|1|0|-23.5464599|-46.6235178|Avenida|Bras|0.0
87|2|exclusive|demolition|2|0|1|1120000.0|home_flipping|DEMOLITION|1994.49|0|1|-23.583723|-46.6800915|Rua|Itaim bibi|0.0
82|3|exclusive|demolition|6|0|1|795000.0|home_flipping|DEMOLITION|2421.2|0|1|-23.5248684|-46.6945501|Rua|Vila romana|0.0
109|2|exclusive|demolition|14|0|3|4039137.0|home_flipping|DEMOLITION|1172.46|2|1|-23.5975802|-46.6716415|Rua|Vila nova conceicao|0.0
147|3|exclusive|demolition|14|0|3|1705000.0|home_flipping|DEMOLITION|548.336|2|1|-23.6034595|-46.656606|Avenida|Moema indios|0.0
54|2|non_exclusive|demolition|4|0|1|160000.0|market|DEMOLITION|1454.52|0|0|-23.671929|-46.7642608|Rua|Capao redondo|9.09
153|4|exclusive|demolition|5|0|2|1915000.0|home_flipping|DEMOLITION|485.712|1|1|-23.5723106|-46.6503071|Rua|Paraiso|0.0
72|2|exclusive|demolition|4|0|1|720000.0|home_flipping|DEMOLITION|1736.21|0|1|-23.5915703|-46.6732142|Rua|Vila olimpia|0.0
30|0|non_exclusive|demolition|10|0|0|385000.0|market|DEMOLITION|223.607|0|0|-23.5436214|-46.6453249|Rua|Republica|2.27
86|3|exclusive|demolition|1|1|2|747000.0|market|DEMOLITION|1353.63|1|0|-23.5344878|-46.6936801|Rua|Vila romana|0.0
115|3|exclusive|demolition|9|0|3|1740000.0|home_flipping|DEMOLITION|385.335|3|1|-23.6217762|-46.6807907|Rua|Campo belo|0.0
156|3|exclusive|demolition|5|0|1|2030000.0|home_flipping|DEMOLITION|151.293|1|1|-23.5644369|-46.6549375|Alameda|Jardim paulista|0.0
38|2|non_exclusive|demolition|1|0|0|200000.0|market|DEMOLITION|6253.45|0|0|-23.5744563|-46.7838355|Rua|Raposo tavares|2.27
64|2|exclusive|demolition|1|0|1|300000.0|market|DEMOLITION|4048.95|0|0|-23.6498604|-46.6013868|Rua|Sacoma|2.27
120|3|exclusive|demolition|2|0|2|1275000.0|home_flipping|DEMOLITION|1457.07|1|1|-23.533313|-46.689809|Rua|Vila romana|0.0
64|3|exclusive|demolition|1|0|2|850000.0|home_flipping|DEMOLITION|553.456|0|1|-23.5719123|-46.6355958|Rua|Aclimacao|0.0
37|1|exclusive|demolition|3|0|0|310000.0|home_flipping|DEMOLITION|664.073|0|1|-23.55402|-46.648805|Rua|Bela vista|0.0
118|3|exclusive|demolition|5|0|2|1310000.0|home_flipping|DEMOLITION|390.931|1|1|-23.5707716|-46.6366754|Rua|Aclimacao|0.0
101|3|exclusive|demolition|6|1|2|1039000.0|market|DEMOLITION|1536.96|1|0|-23.535233|-46.6785537|Rua|Perdizes|0.0
84|2|exclusive|demolition|9|0|1|820000.0|home_flipping|DEMOLITION|414.347|0|1|-23.5625629|-46.6754851|Avenida|Pinheiros|0.0
96|3|exclusive|set_up|1|0|1|1100000.0|home_flipping|FOR_SALE|826.279|2|1|-23.533148|-46.6693989|Rua|Perdizes|0.0
108|3|exclusive|demolition|2|0|1|1170000.0|home_flipping|DEMOLITION|463.111|1|1|-23.5736214|-46.6449544|Rua|Paraiso|0.0
132|3|exclusive|demolition|6|0|2|1400000.0|home_flipping|DEMOLITION|347.555|1|1|-23.5515769|-46.6541133|Rua|Bela vista|0.0
113|3|exclusive|demolition|9|0|1|875000.0|home_flipping|DEMOLITION|244.597|1|1|-23.561377|-46.674293|Rua|Pinheiros|0.0
79|3|exclusive|demolition|8|0|2|695000.0|home_flipping|DEMOLITION|3194.41|1|1|-23.5325118|-46.7183109|Rua|Alto da lapa|0.0
52|2|exclusive|demolition|6|0|1|399000.0|market|DEMOLITION|623.007|0|0|-23.5594163|-46.6319985|Rua|Liberdade|0.0
222|4|exclusive|demolition|2|0|6|2805000.0|home_flipping|DEMOLITION|645.076|3|1|-23.5699996|-46.6535696|Alameda|Jardim paulista|0.0
56|1|exclusive|demolition|22|0|2|1017722.0|new_construction|DEMOLITION|226.256|1|0|-23.5687022|-46.7002174|Rua|Pinheiros|0.0
127|3|exclusive|ready_to_move|4|1|2|980000.0|market|SOLD|2279.53|3|1|-23.5300415|-46.7043636|Rua|Vila romana|0.0
68|2|exclusive|ready_to_move|31|1|1|930000.0|market|SOLD|364.45|1|1|-23.5685743|-46.6984541|Rua|Pinheiros|0.0
105|1|exclusive|ready_to_move|2|1|2|1200000.0|market|SOLD|650.758|1|0|-23.5676973|-46.6584557|Rua|Jardim paulista|0.0
57|2|exclusive|ready_to_move|7|1|1|500000.0|market|SOLD|2168.85|1|0|-23.4981057|-46.6454885|Rua|Casa verde|0.0
43|2|exclusive|ready_to_move|7|1|0|319000.0|market|SOLD|2513.34|0|0|-23.5136354|-46.6880648|Rua|Barra funda|0.0
